Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,FOS%,DRAPG,DRA%,VGPG,HER%,ATAKHAN%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM,Tier
Myth Esports,15,NL,19,0.474,0.97,1851,-2,1900-01-01 07:33:00,17.5,17.9,6.2,6.5,52.6,68.4,57.9,2.42,52.8,4.0,52.6,52.6,1.21,0.4,983.0,5.63,0.32,36.7,31.1,2920.0,2.7,0.63,1.02,3
Near Airport,15,NA,10,0.7,1.56,1924,220,1900-01-01 10:04:00,17.8,11.3,7.9,4.8,70.0,50.0,50.0,3.0,61.2,2.6,70.0,90.0,0.6,-0.2,356.0,4.0,0.8,77.8,33.7,2747.0,3.1,0.78,1.31,2
Nightbirds,15,CZ,25,0.76,1.43,1972,235,1900-01-01 08:19:00,19.8,13.8,8.3,3.5,36.0,80.0,60.0,2.84,61.2,3.3,52.0,52.0,1.0,0.5,1550.0,5.32,0.72,70.0,33.7,3107.0,3.2,0.9,1.14,3
Nigma Galaxy,15,AL,16,0.063,0.56,1614,-448,1900-01-01 03:54:00,14.2,25.1,1.2,9.6,50.0,47.2,6.3,1.25,35.6,1.8,6.7,25.0,0.81,-1.4,-3792.0,2.13,0.06,8.3,26.5,2500.0,2.3,0.53,0.76,3
Ninjas in Pyjamas,15,CN,29,0.586,1.04,1868,39,1900-01-01 08:04:00,15.2,14.5,6.3,5.7,65.5,48.3,44.8,2.24,52.1,3.4,51.7,47.25,0.83,-0.1,30.0,4.18,0.72,75.8,33.2,2535.0,3.0,1.05,1.48,1
Nongshim RedForce,15,KR,47,0.532,1.03,1853,23,1900-01-01 09:00:00,14.9,14.4,6.4,5.6,61.7,51.1,55.3,2.23,54.1,3.6,51.1,57.4,0.62,0.1,151.0,4.17,0.79,60.1,33.1,2596.0,3.6,1.58,1.41,1
NORD Esports,15,EUW,26,0.577,1.3,1901,78,1900-01-01 07:45:00,18.8,14.5,6.9,5.7,65.4,61.5,50.0,2.23,52.7,2.5,42.3,50.0,0.77,0.2,266.0,5.46,0.62,63.8,32.3,2899.0,3.1,0.79,1.05,3
NORTHS FURY,15,PT,3,0.333,0.73,1641,-237,1900-01-01 00:25:00,10.0,13.7,2.3,6.0,33.3,33.3,33.3,2.0,61.1,0.7,33.3,33.3,1.33,-0.7,-3111.0,1.67,0.33,50.0,31.5,2301.0,2.5,0.57,0.78,3
NS Esports Academy,15,KR,25,0.28,0.73,1751,-153,1900-01-01 08:35:00,12.5,17.0,4.3,7.3,64.0,44.0,52.0,1.76,39.1,3.0,52.0,40.0,0.6,-0.2,-217.0,3.76,0.32,33.8,32.5,2593.0,3.2,1.43,1.56,1
ODD Esports,15,LAT,11,0.273,0.75,1739,-135,1900-01-01 07:55:00,17.2,22.9,5.1,7.2,63.6,54.5,63.6,1.82,41.4,3.3,27.3,36.4,0.55,0.1,-17.0,3.91,0.18,14.3,29.1,2656.0,2.7,1.03,1.08,3
